id,溫室氣體,顯示名稱(中文),顯示名稱(英文),排放係數,單元(分母),單元(分子),公告年份,來源,地區,生命週期範疇,盤查起日,盤查迄日,技術描述(中文),技術描述(英文),排除項目,備註
,CO2,芬蘭國家電力係數-2024年,Finland Electricity-2024,0.037,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",FI,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之芬蘭國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Finland.",,
,CO2,瑞典國家電力係數-2024年,Sweden Electricity-2024,0.007,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",SE,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之瑞典國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Sweden.",,
,CO2,德國國家電力係數-2024年,Germany Electricity-2024,0.298,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",DE,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之德國國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Germany.",,
,CO2,荷蘭國家電力係數-2024年,Netherlands Electricity-2024,0.235,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",NL,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之荷蘭國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Netherlands.",,
,CO2,法國國家電力係數-2024年,France Electricity-2024,0.043,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",FR,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之法國國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in France.",,
,CO2,義大利國家電力係數-2024年,Italy Electricity-2024,0.18,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",IT,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之義大利國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Italy.",,
,CO2,波蘭國家電力係數-2024年,Poland Electricity-2024,0.554,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",PL,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之波蘭國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Poland.",,
,CO2,立陶宛國家電力係數-2024年,Lithuania Electricity-2024,0.029,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",LT,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之立陶宛國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Lithuania.",,
,CO2,盧森堡國家電力係數-2024年,Luxembourg Electricity-2024,0.037,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",LU,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之盧森堡國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Luxembourg.",,
,CO2,奧地利國家電力係數-2024年,Austria Electricity-2024,0.055,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",AT,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之奧地利國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Austria.",,
,CO2,葡萄牙國家電力係數-2024年,Portugal Electricity-2024,0.072,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",PT,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之葡萄牙國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Portugal.",,
,CO2,斯洛伐克國家電力係數-2024年,Slovakia Electricity-2024,0.075,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",SK,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之斯洛伐克國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Slovakia.",,
,CO2,丹麥國家電力係數-2024年,Denmark Electricity-2024,0.076,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",DK,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之丹麥國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Denmark.",,
,CO2,拉脫維亞國家電力係數-2024年,Latvia Electricity-2024,0.082,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",LV,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之拉脫維亞國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Latvia.",,
,CO2,西班牙國家電力係數-2024年,Spain Electricity-2024,0.129,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",ES,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之西班牙國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Spain.",,
,CO2,匈牙利國家電力係數-2024年,Hungary Electricity-2024,0.137,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",HU,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之匈牙利國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Hungary.",,
,CO2,克羅埃西亞國家電力係數-2024年,Croatia Electricity-2024,0.141,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",HR,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之克羅埃西亞國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Croatia.",,
,CO2,比利時國家電力係數-2024年,Belgium Electricity-2024,0.145,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",BE,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之比利時國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Belgium.",,
,CO2,斯洛維尼亞國家電力係數-2024年,Slovenia Electricity-2024,0.172,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",SI,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之斯洛維尼亞國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Slovenia.",,
,CO2,愛爾蘭國家電力係數-2024年,Ireland Electricity-2024,0.238,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",IE,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之愛爾蘭國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Ireland.",,
,CO2,希臘國家電力係數-2024年,Greece Electricity-2024,0.285,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",GR,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之希臘國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Greece.",,
,CO2,羅馬尼亞國家電力係數-2024年,Romania Electricity-2024,0.296,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",RO,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之羅馬尼亞國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Romania.",,
,CO2,保加利亞國家電力係數-2024年,Bulgaria Electricity-2024,0.301,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",BG,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之保加利亞國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Bulgaria.",,
,CO2,捷克國家電力係數-2024年,Czechia Electricity-2024,0.332,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",CZ,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之捷克國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Czechia.",,
,CO2,馬爾他國家電力係數-2024年,Malta Electricity-2024,0.337,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",MT,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之馬爾他國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Malta.",,
,CO2,賽普勒斯國家電力係數-2024年,Cyprus Electricity-2024,0.535,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",CY,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之賽普勒斯國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Cyprus.",,
,CO2,愛沙尼亞國家電力係數-2024年,Estonia Electricity-2024,0.585,度(kWh),公斤(kg),2025,"European Environment Agency, European Union",EE,大門到大門,2024/1/1,2024/12/31,"取自European Environment Agency, European Union公告之愛沙尼亞國家電力係數","Derived from the national electricity emission factor published by European Environment Agency, European Union in Estonia.",,
,CO2,台灣公用售電業總銷售電力係數-2025年,Taiwan utility sales electricity-2025,0.467,度(kWh),公斤(kg),2026,"Bureau of Energy, Ministry of Economic Affairs (Taiwan)",TW,大門到大門,2025/1/1,2025/12/31,"取自Bureau of Energy, Ministry of Economic Affairs (Taiwan)公告之台灣公用售電業總銷售電力係數","Derived from the utility sales electricity emission factor published by Bureau of Energy, Ministry of Economic Affairs (Taiwan) in Taiwan.",,適用於檢視公用售電業整體銷售電量之平均電力排碳情形。
,CO2,台灣產業盤查電力係數-2025年,Taiwan industry inventory electricity-2025,0.466,度(kWh),公斤(kg),2026,"Bureau of Energy, Ministry of Economic Affairs (Taiwan)",TW,大門到大門,2025/1/1,2025/12/31,"取自Bureau of Energy, Ministry of Economic Affairs (Taiwan)公告之台灣產業盤查電力係數","Derived from the industry inventory electricity emission factor published by Bureau of Energy, Ministry of Economic Affairs (Taiwan) in Taiwan.",,適用表燈營業、低壓電力、高壓電力、特高壓電力用戶。
,CO2,台灣民生非營業電力係數-2025年,Taiwan residential non-business electricity-2025,0.471,度(kWh),公斤(kg),2026,"Bureau of Energy, Ministry of Economic Affairs (Taiwan)",TW,大門到大門,2025/1/1,2025/12/31,"取自Bureau of Energy, Ministry of Economic Affairs (Taiwan)公告之台灣民生非營業電力係數","Derived from the residential non-business electricity emission factor published by Bureau of Energy, Ministry of Economic Affairs (Taiwan) in Taiwan.",,適用表燈非營業、包燈用戶。
,CO2,中國國家電力係數-2023年,China Electricity-2023,0.5306,度(kWh),公斤(kg),2024,Ministry of Ecology and Environment (China),CN,大門到大門,2023/1/1,2023/12/31,取自Ministry of Ecology and Environment (China)公告之中國國家電力係數,Derived from the national electricity emission factor published by Ministry of Ecology and Environment (China) in China.,,中國分區係數需人工確認區域
,CO2,韓國國家電力係數-2024年,Korea Electricity-2024,0.4541,度(kWh),公斤(kg),2025,Greenhouse Gas Inventory and Research Center of Korea,KR,大門到大門,2024/1/1,2024/12/31,取自Greenhouse Gas Inventory and Research Center of Korea公告之韓國國家電力係數,Derived from the national electricity emission factor published by Greenhouse Gas Inventory and Research Center of Korea in Korea.,,
,CO2,日本國家電力係數-2025年,Japan Electricity-2025,0.423,度(kWh),公斤(kg),2026,"Ministry of the Environment, Government of Japan",JP,大門到大門,2025/1/1,2025/12/31,"取自Ministry of the Environment, Government of Japan公告之日本國家電力係數","Derived from the national electricity emission factor published by Ministry of the Environment, Government of Japan in Japan.",,
,CO2,新加坡國家電力係數-2095年,Singapore Electricity-2095,,度(kWh),公斤(kg),2096,Energy Market Authority (Singapore),SG,大門到大門,2095/1/1,2095/12/31,取自Energy Market Authority (Singapore)公告之新加坡國家電力係數,Derived from the national electricity emission factor published by Energy Market Authority (Singapore) in Singapore.,,"【需人工確認】發現可能更新：Tabular Data (, 1 MB)（statistics_page_scan，未能自動解析係數）"
,CO2,新加坡國家電力係數-2095年,Singapore Electricity-2095,0.402,度(kWh),公斤(kg),2096,Energy Market Authority (Singapore),SG,大門到大門,2095/1/1,2095/12/31,取自Energy Market Authority (Singapore)公告之新加坡國家電力係數,Derived from the national electricity emission factor published by Energy Market Authority (Singapore) in Singapore.,,
,CO2,馬來西亞國家電力係數-2026年,Malaysia Electricity-2026,,度(kWh),公斤(kg),2027,Suruhanjaya Tenaga (Energy Commission),MY,大門到大門,2026/1/1,2026/12/31,取自Suruhanjaya Tenaga (Energy Commission)公告之馬來西亞國家電力係數,Derived from the national electricity emission factor published by Suruhanjaya Tenaga (Energy Commission) in Malaysia.,,【需人工確認】發現可能更新：SEDA(T)-01/2026 – Perkhidmatan Skim Perlindungan Insurans Berkelompok (Takaful) Warga Kerja SEDA Malaysia Bagi Tempoh Satu (1) Tahun Bermula 1 April 2026 Sehingga 31 Mac 2027（news_listing_scan，未能自動解析係數）
,CO2,泰國國家電力係數-2024-2025,Thailand Electricity-2024-2025,,度(kWh),公斤(kg),2026,Thailand Greenhouse Gas Management Organization,TH,大門到大門,2024/1/1,2025/12/31,取自Thailand Greenhouse Gas Management Organization公告之泰國國家電力係數,Derived from the national electricity emission factor published by Thailand Greenhouse Gas Management Organization in Thailand.,,【需人工確認】發現可能更新：Configured direct data file（source_fallback_file，未能自動解析係數）
,CO2,泰國國家電力係數-2024-2025,Thailand Electricity-2024-2025,,度(kWh),公斤(kg),2026,Thailand Greenhouse Gas Management Organization,TH,大門到大門,2024/1/1,2025/12/31,取自Thailand Greenhouse Gas Management Organization公告之泰國國家電力係數,Derived from the national electricity emission factor published by Thailand Greenhouse Gas Management Organization in Thailand.,,
,CO2,越南國家電力係數-2023-2025,Vietnam Electricity-2023-2025,0.6592,度(kWh),公斤(kg),2026,Department of Climate Change in Vietnam,VN,大門到大門,2023/1/1,2025/12/31,取自Department of Climate Change in Vietnam公告之越南國家電力係數,Derived from the national electricity emission factor published by Department of Climate Change in Vietnam in Vietnam.,,
,CO2,菲律賓國家電力係數-2019-2021,Philippines Electricity-2019-2021,,度(kWh),公斤(kg),2022,Department of Energy (Philippines),PH,大門到大門,2019/1/1,2021/12/31,取自Department of Energy (Philippines)公告之菲律賓國家電力係數,Derived from the national electricity emission factor published by Department of Energy (Philippines) in Philippines.,,【需人工確認】發現可能更新：Resource CSV seed URL（resource_seed，未能自動解析係數）
,CO2,印度國家電力係數-2023-2025,India Electricity-2023-2025,0.711725,度(kWh),公斤(kg),2026,Central Electricity Authority of India,IN,大門到大門,2023/1/1,2025/12/31,取自Central Electricity Authority of India公告之印度國家電力係數,Derived from the national electricity emission factor published by Central Electricity Authority of India in India.,,
,CO2,阿拉伯聯合大公國(杜拜)國家電力係數-2024年,阿拉伯聯合大公國(杜拜) Electricity-2024,0.4045,度(kWh),公斤(kg),2025,Dubai Electricity and Water Authority (DEWA),AE,大門到大門,2024/1/1,2024/12/31,取自Dubai Electricity and Water Authority (DEWA)公告之阿拉伯聯合大公國(杜拜)國家電力係數,Derived from the national electricity emission factor published by Dubai Electricity and Water Authority (DEWA) in 阿拉伯聯合大公國(杜拜).,,
,CO2,瑞士國家電力係數-2025年,Switzerland Electricity-2025,0.09,度(kWh),公斤(kg),2026,Verband Schweizerischer Elektrizitätsunternehmen (VSE),CH,大門到大門,2025/1/1,2025/12/31,取自Verband Schweizerischer Elektrizitätsunternehmen (VSE)公告之瑞士國家電力係數,Derived from the national electricity emission factor published by Verband Schweizerischer Elektrizitätsunternehmen (VSE) in Switzerland.,,
,CO2,英國國家電力係數-2023-2025,United Kingdom Electricity-2023-2025,0.130959,度(kWh),公斤(kg),2026,Department for Energy Security and Net Zero (UK),GB,大門到大門,2023/1/1,2025/12/31,取自Department for Energy Security and Net Zero (UK)公告之英國國家電力係數,Derived from the national electricity emission factor published by Department for Energy Security and Net Zero (UK) in United Kingdom.,,
,CO2,美國ASCC Miscellaneous電網電力係數-2023-2025,"United States, ASCC Miscellaneous electricity-2023-2025",0.235616,度(kWh),公斤(kg),2025,U.S. Environmental Protection Agency,US,大門到大門,2023/1/1,2025/12/31,取自U.S. Environmental Protection Agency公告之美國ASCC Miscellaneous電網電力係數,Derived from the national electricity emission factor published by U.S. Environmental Protection Agency in United States.,,
,CO2,美國FRCC all電網電力係數-2023-2025,"United States, FRCC all electricity-2023-2025",0.363732,度(kWh),公斤(kg),2025,U.S. Environmental Protection Agency,US,大門到大門,2023/1/1,2025/12/31,取自U.S. Environmental Protection Agency公告之美國FRCC all電網電力係數,Derived from the national electricity emission factor published by U.S. Environmental Protection Agency in United States.,,
,CO2,美國HICC Miscellaneous電網電力係數-2023-2025,"United States, HICC Miscellaneous electricity-2023-2025",0.508984,度(kWh),公斤(kg),2025,U.S. Environmental Protection Agency,US,大門到大門,2023/1/1,2025/12/31,取自U.S. Environmental Protection Agency公告之美國HICC Miscellaneous電網電力係數,Derived from the national electricity emission factor published by U.S. Environmental Protection Agency in United States.,,
,CO2,美國MRO East電網電力係數-2023-2025,"United States, MRO East electricity-2023-2025",0.635939,度(kWh),公斤(kg),2025,U.S. Environmental Protection Agency,US,大門到大門,2023/1/1,2025/12/31,取自U.S. Environmental Protection Agency公告之美國MRO East電網電力係數,Derived from the national electricity emission factor published by U.S. Environmental Protection Agency in United States.,,
,CO2,美國MRO West電網電力係數-2023-2025,"United States, MRO West electricity-2023-2025",0.417315,度(kWh),公斤(kg),2025,U.S. Environmental Protection Agency,US,大門到大門,2023/1/1,2025/12/31,取自U.S. Environmental Protection Agency公告之美國MRO West電網電力係數,Derived from the national electricity emission factor published by U.S. Environmental Protection Agency in United States.,,
,CO2,美國NPCC New England電網電力係數-2023-2025,"United States, NPCC New England electricity-2023-2025",0.243689,度(kWh),公斤(kg),2025,U.S. Environmental Protection Agency,US,大門到大門,2023/1/1,2025/12/31,取自U.S. Environmental Protection Agency公告之美國NPCC New England電網電力係數,Derived from the national electricity emission factor published by U.S. Environmental Protection Agency in United States.,,
,CO2,美國NPCC NYC/Westchester電網電力係數-2023-2025,"United States, NPCC NYC/Westchester electricity-2023-2025",0.442097,度(kWh),公斤(kg),2025,U.S. Environmental Protection Agency,US,大門到大門,2023/1/1,2025/12/31,取自U.S. Environmental Protection Agency公告之美國NPCC NYC/Westchester電網電力係數,Derived from the national electricity emission factor published by U.S. Environmental Protection Agency in United States.,,
,CO2,美國NPCC Long Island電網電力係數-2023-2025,"United States, NPCC Long Island electricity-2023-2025",0.535547,度(kWh),公斤(kg),2025,U.S. Environmental Protection Agency,US,大門到大門,2023/1/1,2025/12/31,取自U.S. Environmental Protection Agency公告之美國NPCC Long Island電網電力係數,Derived from the national electricity emission factor published by U.S. Environmental Protection Agency in United States.,,
,CO2,美國NPCC Upstate NY電網電力係數-2023-2025,"United States, NPCC Upstate NY electricity-2023-2025",0.109311,度(kWh),公斤(kg),2025,U.S. Environmental Protection Agency,US,大門到大門,2023/1/1,2025/12/31,取自U.S. Environmental Protection Agency公告之美國NPCC Upstate NY電網電力係數,Derived from the national electricity emission factor published by U.S. Environmental Protection Agency in United States.,,
,CO2,美國RFC East電網電力係數-2023-2025,"United States, RFC East electricity-2023-2025",0.26977,度(kWh),公斤(kg),2025,U.S. Environmental Protection Agency,US,大門到大門,2023/1/1,2025/12/31,取自U.S. Environmental Protection Agency公告之美國RFC East電網電力係數,Derived from the national electricity emission factor published by U.S. Environmental Protection Agency in United States.,,
,CO2,美國RFC Michigan電網電力係數-2023-2025,"United States, RFC Michigan electricity-2023-2025",0.436394,度(kWh),公斤(kg),2025,U.S. Environmental Protection Agency,US,大門到大門,2023/1/1,2025/12/31,取自U.S. Environmental Protection Agency公告之美國RFC Michigan電網電力係數,Derived from the national electricity emission factor published by U.S. Environmental Protection Agency in United States.,,
,CO2,美國RFC West電網電力係數-2023-2025,"United States, RFC West electricity-2023-2025",0.413368,度(kWh),公斤(kg),2025,U.S. Environmental Protection Agency,US,大門到大門,2023/1/1,2025/12/31,取自U.S. Environmental Protection Agency公告之美國RFC West電網電力係數,Derived from the national electricity emission factor published by U.S. Environmental Protection Agency in United States.,,
,CO2,美國SERC Mississippi Valley電網電力係數-2023-2025,"United States, SERC Mississippi Valley electricity-2023-2025",0.335393,度(kWh),公斤(kg),2025,U.S. Environmental Protection Agency,US,大門到大門,2023/1/1,2025/12/31,取自U.S. Environmental Protection Agency公告之美國SERC Mississippi Valley電網電力係數,Derived from the national electricity emission factor published by U.S. Environmental Protection Agency in United States.,,
