1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Countries
10,15,16,18,24,20,47,22,24,19,17,19,25,35,21,17,20,17,17,17,22,16,12,12,11,9,11,11,11,9,7,9,3,7,6,Sweden
187,175,154,189,249,222,275,253,204,190,158,203,225,285,239,146,244,219,160,175,214,172,123,158,137,98,103,93,109,85,64,69,63,33,27,Finland
418,449,513,625,522,1058,1048,581,327,450,92,166,274,246,266,262,262,260,233,273,227,226,232,182,193,135,69,63,63,65,57,59,58,38,35,Luxembourg
205,172,174,161,148,137,137,134,156,113,72,54,62,68,65,83,89,90,81,79,77,70,77,75,57,60,66,73,59,59,56,57,72,47,36,France
232,239,186,172,190,199,206,206,180,164,155,172,164,204,184,179,174,160,146,130,153,160,116,106,92,107,94,103,100,91,78,81,77,59,53,Austria
469,413,347,332,281,256,255,272,247,245,212,216,203,218,222,194,184,186,189,166,141,152,149,131,118,125,117,112,134,120,104,114,95,83,59,Slovakia
182,185,110,86,97,55,90,74,103,109,93,80,66,60,63,97,96,80,75,77,281,227,240,174,158,175,133,79,49,66,147,129,105,78,61,Lithuania
686,707,678,643,643,618,637,586,549,517,487,480,472,497,430,396,481,448,421,420,373,336,285,317,277,198,230,175,187,113,111,123,126,83,64,Denmark
345,296,319,243,181,123,197,124,96,161,117,114,123,130,92,86,109,103,111,97,121,131,90,127,127,146,117,65,146,150,103,97,66,68,75,Latvia
519,526,621,544,506,573,436,466,474,576,483,461,539,439,483,535,450,421,416,392,280,332,397,317,299,363,296,362,309,255,203,173,171,115,82,Portugal
332,199,315,331,222,247,180,280,314,286,278,296,353,384,279,293,304,389,337,263,209,295,280,197,168,202,204,188,130,163,155,139,173,139,98,Croatia
443,438,479,452,445,491,383,423,420,495,462,412,464,409,415,429,395,407,345,315,256,317,330,268,278,316,266,305,276,214,167,165,178,140,125,Spain
480,482,501,492,484,476,474,470,483,467,447,444,433,480,438,362,365,363,352,310,306,314,319,287,263,262,253,264,249,226,214,187,181,147,127,Hungary
352,356,343,350,358,346,320,290,311,259,267,251,258,260,261,256,246,235,229,211,208,185,198,183,197,218,161,168,197,169,165,137,151,150,155,Belgium
476,367,439,433,392,398,360,378,391,344,354,376,388,385,363,360,368,392,342,328,334,343,330,306,218,257,252,255,245,238,220,214,201,166,175,Slovenia
501,490,477,458,456,445,431,419,420,409,393,388,393,390,379,378,376,383,361,350,334,340,336,320,311,311,301,301,288,253,226,241,256,206,183,#N/A
763,798,591,671,660,587,594,465,409,403,460,458,450,518,447,393,423,449,441,482,342,396,409,311,277,295,275,297,284,263,212,206,206,189,188,Romania
562,536,524,517,511,540,520,511,511,494,396,384,406,443,416,398,389,381,372,354,338,327,312,272,257,283,262,264,249,233,216,265,300,248,206,Italy
768,767,767,751,740,747,734,738,715,719,674,694,650,618,594,600,551,516,493,473,483,454,486,460,449,435,428,396,348,309,276,328,301,255,237,Ireland
601,577,576,570,576,565,538,535,505,500,492,518,510,508,498,485,481,485,479,446,442,429,447,461,488,514,484,453,435,384,328,338,312,255,245,Netherlands
567,546,630,696,607,569,541,551,565,516,487,532,491,541,543,497,485,608,572,532,533,586,528,484,478,487,466,498,426,427,354,398,455,293,248,Bulgaria
652,656,629,620,616,594,580,566,569,550,551,566,557,543,527,508,502,516,489,486,470,488,493,486,476,446,443,414,408,348,314,345,368,316,291,Germany
1188,1131,1152,1118,1100,1041,991,1046,1034,978,974,983,955,914,920,915,853,879,869,854,875,883,869,807,845,739,621,657,654,606,453,397,395,343,304,Greece
1604,1131,1035,1406,1178,978,996,959,954,925,838,1004,957,969,935,883,881,886,876,878,891,889,897,753,738,679,675,439,356,359,378,349,348,341,337,Malta
764,761,758,742,757,769,775,723,719,678,679,678,663,595,592,608,604,607,595,567,553,546,509,475,480,492,499,472,464,429,389,394,408,361,338,Czechia
910,894,950,938,1109,1197,1214,1177,1141,1135,1074,1033,1015,1020,1005,1002,955,1015,988,956,956,965,907,953,959,949,912,904,883,729,604,655,714,543,384,Estonia
852,839,839,839,844,834,845,854,855,869,848,786,766,773,781,800,792,795,793,776,735,759,757,666,682,670,679,661,664,642,623,605,591,575,561,Cyprus
1296,1271,1311,1163,1157,1005,989,961,937,925,917,906,901,908,903,888,902,891,878,856,849,850,829,827,814,790,774,763,770,731,697,719,683,595,566,Poland
